,Neighbourhood,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Cancellation Policy
16432,Friedrichshain,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,49.0,2,8,1,1125,272,69,moderate
16433,Friedrichshain,Apartment,Private room,4,1.0,1.0,1.0,Real Bed,33.0,2,15,1,1125,6,6,flexible
16434,Friedrichshain,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,45.0,1,0,2,1125,0,4,moderate
16435,Friedrichshain,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,50.0,1,0,1,3,0,3,flexible
16436,Friedrichshain,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,69.0,1,0,2,1125,357,6,strict
16437,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,39.0,1,0,7,1125,0,0,flexible
16438,Friedrichshain,Apartment,Entire home/apt,5,1.0,2.0,4.0,Real Bed,155.0,2,20,3,21,347,28,strict
16439,Friedrichshain,Apartment,Private room,4,1.0,2.0,2.0,Futon,20.0,1,0,1,1125,276,1,flexible
16441,Friedrichshain,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,50.0,1,0,2,21,90,0,flexible
16442,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,19.0,1,10,4,1125,0,0,moderate
16463,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,50.0,1,10,3,12,3,20,flexible
16464,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Futon,45.0,1,0,1,1125,0,1,flexible
16465,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,1,0,1,1125,0,3,flexible
16466,Kreuzberg,Loft,Entire home/apt,6,1.0,0.0,5.0,Real Bed,98.0,2,25,2,30,270,3,moderate
16468,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,38.0,1,10,2,30,0,50,moderate
16469,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,69.0,1,15,3,730,9,51,strict
16470,Mitte,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,95.0,1,0,3,1125,194,61,flexible
16471,Mitte,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,40.0,2,0,90,1125,275,34,strict
16472,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,45.0,1,0,2,7,2,17,moderate
16473,Mitte,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,99.0,2,0,3,1125,7,12,moderate
16474,Mitte,Serviced apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,115.0,1,0,3,1125,24,4,strict
16479,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,0,1,1125,0,0,flexible
16480,Friedrichshain,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,80.0,1,10,2,7,87,0,strict
16481,Friedrichshain,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,50.0,2,0,60,1125,0,15,moderate
16482,Friedrichshain,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,65.0,1,0,5,1125,21,1,moderate
16483,Friedrichshain,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,27.0,1,0,2,1125,17,1,flexible
16484,Friedrichshain,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,40.0,1,0,5,7,3,0,flexible
16486,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,69.0,1,35,3,90,235,0,strict
16487,Kreuzberg,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,59.0,1,8,2,365,239,110,strict
16488,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,36.0,1,15,2,120,0,37,moderate
16490,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,54.0,1,0,12,1125,127,3,strict
16491,Kreuzberg,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,60.0,1,0,2,1125,0,12,flexible
16493,Kreuzberg,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,100.0,3,0,2,1125,0,4,strict
16494,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,53.0,1,0,4,14,0,2,flexible
16512,Kreuzberg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,39.0,1,54,1,7300,360,76,moderate
16515,Kreuzberg,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,45.0,1,10,5,1125,0,0,strict
16517,Kreuzberg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,25.0,1,0,1,1125,94,9,flexible
16518,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,89.0,1,0,5,1125,186,2,flexible
16519,Kreuzberg,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,70.0,1,20,1,1125,108,17,moderate
16520,Kreuzberg,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,59.0,1,14,2,1125,265,37,strict
16521,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,15,3,23,0,0,strict
16522,Kreuzberg,Apartment,Entire home/apt,3,1.0,1.0,3.0,Real Bed,80.0,1,0,3,1125,0,1,moderate
16524,Kreuzberg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,25.0,1,0,3,1125,0,3,moderate
16525,Kreuzberg,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,20.0,1,0,60,1125,127,0,strict
16526,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,37.0,1,0,1,1125,0,0,flexible
16527,Kreuzberg,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,50.0,1,5,5,1125,0,3,moderate
16528,Kreuzberg,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,35.0,1,17,3,1125,0,8,moderate
16529,Kreuzberg,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,50.0,2,15,3,1125,51,12,strict
16530,Kreuzberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,35.0,1,20,3,1125,0,5,flexible
16531,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,22.0,1,0,2,1125,0,2,moderate
16533,Kreuzberg,Apartment,Entire home/apt,14,2.0,5.0,10.0,Real Bed,506.0,8,45,3,1125,0,112,strict
16534,Kreuzberg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,65.0,1,0,2,7,0,1,flexible
16536,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,74.0,1,0,1,1125,119,0,flexible
16538,Kreuzberg,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,55.0,1,10,2,365,158,107,moderate
16540,Kreuzberg,Apartment,Private room,1,1.5,1.0,1.0,Real Bed,33.0,1,0,1,365,38,18,flexible
16541,Kreuzberg,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,30.0,1,25,2,21,0,3,strict
16542,Kreuzberg,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,59.0,1,10,1,1125,142,33,flexible
16543,Kreuzberg,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,70.0,2,20,1,6,19,1,moderate
16546,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,50.0,1,0,1,1125,0,1,flexible
16547,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,42.0,2,0,2,1125,0,1,moderate
16548,Kreuzberg,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,40.0,1,5,1,14,0,15,strict
16549,Kreuzberg,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,50.0,1,0,1,1125,0,0,flexible
16550,Kreuzberg,Apartment,Private room,1,1.5,1.0,2.0,Real Bed,60.0,1,20,1,1125,359,5,strict
16551,Kreuzberg,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,70.0,2,10,3,1125,164,12,strict
16566,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,25,1,365,280,45,strict
16567,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,50.0,1,10,4,60,0,58,flexible
16568,Mitte,Hostel,Shared room,4,1.0,1.0,4.0,Real Bed,25.0,1,29,1,14,360,31,strict
16569,Mitte,Hostel,Shared room,6,1.0,1.0,6.0,Real Bed,22.0,1,24,1,14,297,41,strict
16570,Mitte,Other,Private room,3,2.0,1.0,2.0,Real Bed,40.0,2,17,2,19,1,0,strict
