superhost,neighbourhood,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,days_rented,revenue
t,Cuauhtémoc,Entire home/apt,4,1.0,1,1370.0,0,342,4.92,365,500050.0
f,Cuauhtémoc,Private room,2,1.0,1,477.0,55,5,4.6,310,147870.0
f,Tlalpan,Private room,1,1.0,1,250.0,300,27,4.96,65,16250.0
t,Cuauhtémoc,Private room,2,1.0,2,700.0,138,82,4.91,227,158900.0
f,Benito Juárez,Entire home/apt,2,1.0,1,753.0,361,185,4.74,4,3012.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,1029.0,259,183,4.73,106,109074.0
t,Miguel Hidalgo,Entire home/apt,4,2.0,3,1324.0,24,151,4.91,341,451484.0
f,Coyoacán,Entire home/apt,16,2.5,7,2594.0,81,28,4.75,284,736696.0
f,Coyoacán,Entire home/apt,10,4.0,5,2501.0,359,66,4.55,6,15006.0
f,Cuauhtémoc,Entire home/apt,2,1.0,2,815.0,120,0,0.0,245,199675.0
f,Coyoacán,Entire home/apt,4,1.0,2,852.0,365,2,5.0,0,0.0
f,Miguel Hidalgo,Private room,2,1.0,2,1200.0,363,25,4.8,2,2400.0
t,Álvaro Obregón,Entire home/apt,2,1.0,1,349.0,351,105,4.8,14,4886.0
f,Coyoacán,Entire home/apt,8,2.0,3,2252.0,361,7,5.0,4,9008.0
f,Cuauhtémoc,Entire home/apt,6,2.5,2,1791.0,41,208,4.94,324,580284.0
f,Cuauhtémoc,Private room,2,1.5,1,413.0,314,340,4.87,51,21063.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,1032.0,314,293,4.78,51,52632.0
f,Benito Juárez,Private room,1,1.0,1,500.0,268,8,5.0,97,48500.0
f,Cuauhtémoc,Entire home/apt,4,2.5,2,1667.0,124,217,4.94,241,401747.0
f,Benito Juárez,Private room,1,1.0,1,700.0,364,26,4.92,1,700.0
f,Cuauhtémoc,Entire home/apt,8,1.0,3,1600.0,351,56,4.7,14,22400.0
t,Coyoacán,Entire home/apt,4,1.0,2,691.0,290,222,4.89,75,51825.0
t,Cuajimalpa de Morelos,Entire home/apt,2,1.0,1,1868.0,356,24,5.0,9,16812.0
f,Álvaro Obregón,Entire home/apt,6,3.0,3,1509.0,179,6,4.83,186,280674.0
f,La Magdalena Contreras,Private room,2,2.5,1,980.0,363,10,4.7,2,1960.0
f,Miguel Hidalgo,Private room,2,1.0,1,700.0,25,0,0.0,340,238000.0
f,Coyoacán,Entire home/apt,4,2.0,4,903.0,358,2,4.5,7,6321.0
f,Cuauhtémoc,Entire home/apt,4,2.0,2,2000.0,157,20,4.75,208,416000.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,1700.0,311,90,4.92,54,91800.0
f,Coyoacán,Entire home/apt,4,1.0,2,669.0,330,32,4.41,35,23415.0
t,Cuauhtémoc,Entire home/apt,4,1.0,3,1422.0,0,149,4.92,365,519030.0
t,Miguel Hidalgo,Entire home/apt,6,2.0,3,4724.0,276,113,4.95,89,420436.0
f,Miguel Hidalgo,Private room,1,1.0,1,736.0,358,0,0.0,7,5152.0
t,Benito Juárez,Entire home/apt,1,1.0,1,184.0,26,0,0.0,339,62376.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,2500.0,365,51,4.86,0,0.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,2588.0,365,5,4.6,0,0.0
f,Cuauhtémoc,Shared room,12,5.0,8,251.0,1,130,4.56,364,91364.0
t,Cuauhtémoc,Private room,1,1.0,1,600.0,299,23,4.96,66,39600.0
t,Cuauhtémoc,Private room,1,1.0,1,445.0,299,37,4.84,66,29370.0
f,Miguel Hidalgo,Entire home/apt,2,1.0,1,864.0,360,58,4.83,5,4320.0
f,Benito Juárez,Entire home/apt,4,1.0,2,1164.0,57,118,4.83,308,358512.0
t,Coyoacán,Private room,1,1.0,1,300.0,132,112,4.51,233,69900.0
f,Miguel Hidalgo,Entire home/apt,4,2.5,2,4245.0,263,27,5.0,102,432990.0
f,Miguel Hidalgo,Private room,2,1.0,1,1000.0,179,87,5.0,186,186000.0
f,Álvaro Obregón,Entire home/apt,3,1.0,2,797.0,1,287,4.78,364,290108.0
f,Tlalpan,Private room,1,1.0,1,300.0,364,3,4.67,1,300.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1210.0,349,194,4.86,16,19360.0
f,Tlalpan,Entire home/apt,2,1.0,2,263.0,346,33,4.85,19,4997.0
t,Coyoacán,Private room,1,1.0,1,250.0,0,24,4.92,365,91250.0
f,Miguel Hidalgo,Entire home/apt,4,1.0,2,850.0,267,2,5.0,98,83300.0
t,Coyoacán,Shared room,2,1.0,1,350.0,365,140,4.59,0,0.0
f,Cuauhtémoc,Entire home/apt,4,1.0,3,971.0,315,150,4.9,50,48550.0
f,Cuauhtémoc,Entire home/apt,3,1.0,1,3328.0,338,2,5.0,27,89856.0
f,Cuauhtémoc,Entire home/apt,5,2.0,4,1321.0,355,66,4.82,10,13210.0
f,Álvaro Obregón,Private room,7,2.5,4,2373.0,301,22,4.82,64,151872.0
f,Cuauhtémoc,Private room,1,3.0,1,492.0,266,189,4.75,99,48708.0
f,Cuauhtémoc,Private room,1,1.0,1,9999.0,365,0,0.0,0,0.0
f,Cuauhtémoc,Private room,1,1.0,1,600.0,0,0,0.0,365,219000.0
f,Gustavo A. Madero,Private room,1,1.0,1,450.0,0,0,0.0,365,164250.0
f,Cuauhtémoc,Entire home/apt,2,1.0,2,1053.0,365,23,4.7,0,0.0
